gid,초등학교수,중학교수,고등학교수,어린이보호구역수,교차로,보행자작동신호기,횡단보도,음향신호기,안전표지,신호등,잔여시간표시기,도로면적,총인구수,단란주점,유흥주점,일반음식점,교통사고수,geometry,gu
다사58a48a,0,0,0,1,0.0,0.0,44.0,0.0,133.0,12.0,0.0,49829.303222296345,6085.0,0,0,24,20,"POLYGON ((958000 1948000, 958000 1948500, 958500 1948500, 958500 1948000, 958000 1948000))",강남구
다사58b48a,1,0,1,1,2.0,4.0,40.0,0.0,159.0,4.0,0.0,64451.2376260541,3446.0,0,0,3,18,"POLYGON ((958500 1948000, 958500 1948500, 959000 1948500, 959000 1948000, 958500 1948000))",강남구
다사58a45b,1,0,0,3,0.0,0.0,60.0,1.0,264.0,13.0,1.0,52999.49400319272,7734.0,0,0,125,46,"POLYGON ((958000 1945500, 958000 1946000, 958500 1946000, 958500 1945500, 958000 1945500))",강남구
다사61b44a,1,0,0,1,0.0,0.0,68.0,10.0,173.0,62.0,20.0,45693.17981600526,10261.0,0,0,59,38,"POLYGON ((961500 1944000, 961500 1944500, 962000 1944500, 962000 1944000, 961500 1944000))",강남구
다사58a47b,0,0,0,0,8.0,2.0,114.0,9.0,219.0,109.0,12.0,60890.88672569581,4755.0,2,0,89,34,"POLYGON ((958000 1947500, 958000 1948000, 958500 1948000, 958500 1947500, 958000 1947500))",강남구
다사64b43b,1,1,1,2,5.0,2.0,16.0,2.0,126.0,28.0,0.0,57582.24908901328,3628.0,0,0,4,22,"POLYGON ((964500 1943500, 964500 1944000, 965000 1944000, 965000 1943500, 964500 1943500))",강남구 송파구
다사64a42a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0,0,0,0,"POLYGON ((964000 1942000, 964000 1942500, 964500 1942500, 964500 1942000, 964000 1942000))",강남구
다사60b45b,0,0,0,1,5.0,2.0,71.0,11.0,328.0,74.0,5.0,60670.6999854018,3100.0,5,0,338,20,"POLYGON ((960500 1945500, 960500 1946000, 961000 1946000, 961000 1945500, 960500 1945500))",강남구
다사59a44a,0,0,0,0,0.0,0.0,80.0,20.0,277.0,94.0,16.0,56679.11692717731,4185.0,3,0,211,45,"POLYGON ((959000 1944000, 959000 1944500, 959500 1944500, 959500 1944000, 959000 1944000))",강남구
다사60b41b,0,0,0,1,0.0,0.0,25.0,24.0,78.0,42.0,17.0,40441.1342650779,1667.0,0,0,5,17,"POLYGON ((960500 1941500, 960500 1942000, 961000 1942000, 961000 1941500, 960500 1941500))",강남구
